"","school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"54",1,1,15,2,1,2,4,4,4,4,1,2,1,1,0,1,1,0,0,1,1,1,0,3,3,4,2,3,5,0,13,12,12
"55",1,1,15,2,2,1,3,3,3,3,3,2,1,1,0,0,0,0,0,1,1,1,0,5,3,4,4,4,1,0,13,12,13
"56",1,1,16,2,1,1,2,1,3,3,3,2,1,2,0,0,0,0,1,1,1,1,1,5,3,4,1,1,2,2,12,13,12
"57",1,1,15,2,1,1,4,3,4,4,4,2,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,1,0,15,14,15
"58",1,2,15,2,1,2,4,4,5,2,4,2,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,8,15,15,16
"59",1,2,15,2,2,2,1,2,3,1,2,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,0,14,13,14
"60",1,1,16,2,1,2,4,2,4,3,1,2,1,2,0,0,1,1,0,1,1,1,0,4,2,3,1,1,5,2,16,15,16
"61",1,1,16,1,1,2,4,4,2,5,3,2,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,0,17,16,16
"62",1,1,16,2,1,2,1,1,4,4,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,0,10,10,16
"63",1,1,16,2,2,2,1,2,3,4,4,1,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,0,13,13,10
"64",1,1,16,2,1,2,4,3,5,2,2,2,1,3,0,1,1,0,1,1,1,1,0,3,4,4,2,4,4,0,14,13,13
"65",1,1,15,2,2,2,4,3,4,4,4,1,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,13,12,12
"66",1,1,16,2,2,2,4,3,5,4,1,2,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,16
"67",1,2,15,2,1,1,4,4,3,4,4,2,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,11,12,12
"68",1,1,16,2,1,2,3,1,4,3,1,2,1,4,0,1,1,0,0,1,1,1,0,4,3,3,1,2,5,0,10,9,10
"69",1,1,15,1,2,2,2,2,2,4,4,2,2,2,0,1,1,0,0,1,1,1,0,4,1,3,1,3,4,0,11,10,11
"70",1,1,15,1,2,2,3,1,3,3,4,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,6,15,15,15
"71",1,2,16,2,1,2,3,1,3,3,4,1,2,4,0,0,1,0,0,1,1,1,0,4,3,2,1,1,5,2,13,11,11
"72",1,2,15,2,1,2,4,2,3,3,1,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,11,9,10
"73",1,1,15,1,1,2,1,1,3,3,4,2,1,2,0,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,13,11,11
"74",1,2,16,2,1,2,3,1,3,3,4,2,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,0,13,13,14
"75",1,1,16,2,1,2,3,3,3,4,2,2,1,2,0,1,1,0,1,1,1,1,0,4,3,3,2,4,5,4,11,11,11
"76",1,2,15,2,1,2,4,3,5,3,2,2,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,11,11,11
"77",1,2,15,2,1,2,4,0,5,3,1,2,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,0,12,11,11
"78",1,1,16,2,1,2,2,2,3,3,4,2,1,4,0,0,0,0,0,1,1,1,1,5,2,3,1,3,3,1,13,13,13
"79",1,2,17,2,1,2,2,1,3,3,2,2,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,0,9,9,10
"80",1,1,16,2,1,2,3,4,1,3,1,2,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,14,12,11,11
"81",1,2,15,2,1,2,2,3,3,4,1,1,1,1,0,1,1,0,1,0,1,1,1,3,2,2,1,3,3,0,11,11,12
"82",1,2,15,2,1,2,2,3,3,3,2,2,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2,10,9,9
"83",1,1,15,2,2,2,3,2,4,3,4,2,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,1,5,4,12,11,11
"84",1,2,15,2,2,2,2,2,4,4,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2,13,12,13
"85",1,1,15,2,1,2,1,1,3,3,2,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,13,12,12
"86",1,1,15,2,1,2,4,4,4,4,4,1,2,2,0,0,0,0,0,1,1,1,1,4,4,4,2,3,5,4,12,11,12
"87",1,1,16,2,2,2,2,2,1,3,1,2,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,6,13,11,11
"88",1,1,15,2,1,2,4,2,3,3,4,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,15,15,15
"89",1,2,16,2,1,2,2,2,4,3,4,1,2,2,0,0,0,0,1,0,1,1,0,4,4,2,1,1,3,6,12,10,11
"90",1,2,16,NA,2,1,4,4,5,2,4,2,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,6,9,9,10
"91",1,1,16,NA,1,2,3,3,3,3,2,2,1,3,0,0,1,0,0,1,1,1,1,4,3,3,1,3,4,2,9,11,11
"92",1,1,15,2,1,2,4,3,4,3,4,2,1,1,0,0,0,0,1,1,1,1,0,4,5,5,1,3,1,6,14,13,13
"93",1,1,16,NA,2,2,3,1,3,3,2,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,0,12,13,12
"94",1,1,16,2,1,2,4,2,5,4,2,2,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,1,2,13,14,14
"95",1,2,15,2,2,2,2,2,4,2,4,2,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,2,11,12,12
"96",1,1,15,1,1,2,1,1,1,3,2,2,2,4,0,1,1,1,1,1,1,1,0,3,1,2,1,1,1,4,13,13,13
"97",1,2,16,1,1,2,4,3,4,3,4,2,2,1,0,1,1,1,1,0,1,1,0,3,3,3,1,1,4,6,9,11,11
"98",1,1,16,2,1,2,2,1,3,3,1,2,1,2,0,0,1,0,0,1,1,0,1,4,3,5,1,1,5,0,13,12,12
"99",1,1,16,NA,1,2,4,4,3,3,4,2,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,4,12,13,13
"100",1,1,16,2,1,2,4,3,3,1,1,2,1,3,0,1,1,0,0,1,1,1,0,5,3,5,1,1,3,2,12,13,13
"101",1,2,16,NA,1,2,4,4,4,4,3,2,1,1,0,1,1,0,1,1,1,1,0,4,5,5,5,5,4,12,9,9,8
"102",1,2,16,2,1,2,4,4,4,5,3,1,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,16,16
"103",1,2,15,2,1,2,4,4,4,3,1,2,1,1,0,0,1,1,1,0,1,1,0,5,3,3,1,1,5,2,12,13,12
"104",1,1,15,2,1,2,3,2,4,3,2,2,2,2,0,1,1,0,0,1,1,1,0,4,3,5,1,1,2,16,11,10,10
"105",1,2,15,2,1,1,3,4,4,3,1,2,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,1,1,0,16,16,16
"106",1,1,15,NA,1,1,3,3,3,2,4,1,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,10,10
"107",1,1,15,2,1,2,2,2,3,3,1,2,1,4,0,1,1,0,0,1,1,1,0,5,1,2,1,1,3,4,10,10,10
"108",1,2,16,2,1,2,3,3,4,3,2,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,13,14,14
"109",1,2,15,1,1,2,4,4,3,3,2,1,4,4,0,0,1,0,1,1,1,1,1,1,3,5,3,5,1,8,12,10,11
"110",1,1,16,2,2,2,4,4,2,2,3,2,1,3,0,0,1,0,1,1,1,1,1,5,4,5,1,1,4,2,15,15,14
"111",1,2,15,2,2,1,4,4,5,5,1,2,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4,13,14,14
"112",1,1,16,1,1,2,3,3,4,3,4,1,1,3,0,1,1,0,1,1,1,1,0,4,1,2,1,1,2,4,11,11,11
"113",1,1,16,2,1,2,2,2,1,3,2,2,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,12,8,10,10
"114",1,2,15,2,2,2,4,2,5,3,1,2,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,17,18
"115",1,2,15,1,1,2,2,1,2,4,4,2,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,10,9,10
"116",1,2,16,NA,1,2,4,4,5,5,1,1,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,6,16,14,14
"117",1,2,15,2,1,2,4,4,3,5,4,1,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,4,16,15,16
"118",1,2,16,2,1,2,3,3,3,4,2,1,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,14,14,15
"119",1,2,17,1,1,2,1,3,3,3,1,1,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,14,12,11,11
"120",1,2,15,NA,1,2,3,4,3,3,4,1,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,14,13,14
"121",1,1,15,2,1,2,1,2,1,4,1,2,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,0,14,14,14
"122",1,2,15,2,1,2,2,2,4,4,2,1,1,4,0,0,1,0,1,1,1,1,0,5,5,4,1,2,5,6,14,13,13
"123",1,1,16,2,2,2,2,4,3,2,1,1,2,2,0,0,1,0,1,1,1,1,1,4,2,2,1,2,5,2,14,12,13
"124",1,2,16,2,1,2,4,4,2,3,1,2,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,4,12,13,13
"125",1,1,16,2,1,2,2,2,3,3,2,2,1,2,0,0,0,0,0,1,1,1,1,5,4,4,1,1,5,0,12,11,11
"126",1,2,15,NA,1,2,3,4,4,4,2,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,2,9,9,9
"127",1,1,15,NA,2,1,3,4,3,3,2,2,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,10,11,11
"128",1,1,19,2,1,2,0,1,1,3,1,3,1,2,2,0,1,0,0,0,0,0,0,3,4,2,1,1,5,0,9,10,11
"129",1,2,16,1,1,2,4,4,5,5,1,2,1,1,0,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,14,14,15
"130",1,2,16,2,1,2,2,3,3,3,1,2,2,3,0,0,1,0,0,0,1,1,1,3,2,3,2,2,1,4,13,12,13
"131",1,1,15,1,1,2,3,4,4,5,1,1,2,3,0,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,10,11,12
"132",1,1,18,2,1,2,2,1,4,3,4,2,1,2,3,0,1,0,1,1,0,1,1,5,4,5,1,3,5,10,10,9,8
"133",1,1,17,2,2,1,2,1,3,3,1,2,3,1,0,0,1,0,0,1,1,1,0,3,2,2,1,2,5,8,11,10,11
"134",1,1,15,2,1,2,1,1,1,3,1,2,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,6,11,12,13
"135",1,1,17,2,2,2,2,2,3,3,1,1,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,2,13,12,12
"136",1,1,16,2,1,1,3,4,4,3,1,1,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,12,15,13,14
"137",1,2,16,2,1,2,2,1,1,3,1,2,4,1,0,0,0,0,0,1,1,0,0,3,2,1,1,1,2,4,9,9,11
"138",1,1,16,NA,1,1,2,2,3,3,2,2,1,1,1,0,0,0,0,1,1,0,0,5,3,4,1,1,5,12,13,11,11
"139",1,2,15,1,1,2,3,4,1,5,1,2,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,2,12,11,11
"140",1,1,15,NA,1,2,4,4,4,1,1,2,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,4,13,14,15
"141",1,2,17,1,1,2,3,4,1,3,1,2,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,2,10,9,10
"142",1,1,16,1,1,2,1,1,1,3,1,2,4,2,0,0,1,0,0,1,1,0,0,5,1,3,1,1,3,0,14,13,13
"143",1,2,18,2,2,2,3,1,4,4,1,2,2,1,0,0,0,0,1,1,1,1,1,3,3,4,4,5,4,2,11,11,12
"144",1,1,18,NA,1,1,3,2,3,4,1,3,1,3,0,0,1,0,1,0,1,1,1,4,3,3,5,1,5,10,12,11,11
"145",1,1,16,1,1,2,1,1,3,4,4,2,2,1,0,0,1,0,1,1,1,0,1,3,3,3,1,2,1,8,12,11,11
"146",1,1,16,2,1,1,3,3,3,3,1,3,2,1,0,0,1,0,1,0,1,1,1,4,3,2,1,1,5,4,9,9,10
"147",1,2,16,2,2,2,1,1,4,3,1,2,1,2,2,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,10,10,10
"148",1,1,15,2,1,2,4,4,5,5,1,2,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,6,13,14,14
"149",1,1,15,1,1,2,1,1,3,3,1,2,3,1,1,0,0,0,1,1,1,1,1,5,5,5,1,1,1,2,8,9,9
"150",1,2,15,2,1,2,4,3,5,4,1,1,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,6,9,11,11
"151",1,1,15,2,1,1,3,3,4,4,2,2,1,2,0,0,0,0,0,0,1,0,1,1,3,2,2,3,1,24,9,8,9
"152",1,2,16,2,1,2,4,4,4,4,1,2,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,5,0,15,13,13
"153",1,2,16,2,2,2,2,2,4,4,4,1,2,1,0,0,1,0,1,1,1,1,0,2,3,3,2,2,2,4,12,11,11
"154",1,1,15,2,1,2,4,4,5,4,1,2,1,3,0,0,1,0,1,1,1,1,0,4,2,2,1,1,5,2,13,13,13
"155",1,1,16,2,2,2,1,1,1,1,1,2,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,4,10,11,11
"156",1,2,17,2,1,2,2,1,3,3,2,2,1,1,0,0,1,0,0,1,1,1,0,5,4,5,1,2,5,22,9,7,6
"157",1,1,15,NA,1,2,1,1,3,4,1,1,1,2,0,0,1,0,0,1,1,1,0,4,4,2,1,2,5,0,12,12,12
"158",1,1,15,2,2,1,2,1,1,3,2,2,2,1,0,0,1,0,1,1,0,1,1,4,4,2,1,1,5,0,11,10,10
"159",1,1,15,2,1,2,3,2,2,4,2,1,1,2,1,0,1,0,0,1,1,1,0,3,3,2,1,1,3,2,11,11,11
"160",1,1,15,2,1,2,1,2,1,3,1,2,1,2,0,0,1,0,0,0,1,1,0,4,3,2,1,1,5,6,13,12,13
"161",1,1,15,NA,1,2,1,2,1,4,1,1,1,2,0,0,0,0,0,0,1,0,1,2,3,4,2,4,1,6,11,11,11
"162",1,2,16,NA,1,2,4,4,5,5,1,2,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,16,9,9,8
"163",1,2,15,2,2,1,2,1,4,3,1,2,4,1,0,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,12,11,11
"164",1,2,18,NA,2,2,1,1,3,3,1,2,1,1,2,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,11,9,0
"165",1,2,16,2,2,2,2,1,1,3,1,2,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,9,10,10
"166",1,1,15,1,1,2,3,3,4,4,4,3,2,3,0,0,1,1,1,1,1,1,1,4,2,1,2,3,3,2,13,13,13
"167",1,2,19,2,1,2,3,2,4,1,2,2,1,1,0,0,1,0,0,1,0,1,1,4,5,4,1,1,4,6,11,9,11
"168",1,1,17,2,1,2,4,4,3,5,1,2,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,13,13,13
"169",1,2,15,1,1,2,2,3,1,4,1,2,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,0,7,8,8
"170",1,2,17,NA,2,2,1,2,3,3,4,2,1,1,3,0,0,0,0,1,1,0,0,2,2,2,3,3,5,14,9,8,10
"171",1,1,18,1,1,2,1,1,1,3,1,2,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,11,10,11
"172",1,2,16,1,1,2,2,2,1,3,1,2,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,4,12,10,11
"173",1,2,16,NA,1,2,3,3,3,4,1,1,1,2,1,0,1,0,0,1,1,1,1,4,5,5,4,4,5,0,10,10,1
"174",1,2,16,2,2,2,1,2,2,4,1,2,2,1,2,0,0,0,0,0,1,1,0,4,4,5,3,5,5,0,9,8,10
"175",1,2,17,1,2,2,2,1,1,3,1,2,2,1,1,0,0,1,1,1,0,1,1,3,3,2,2,2,5,8,8,8,9
"176",1,2,17,1,1,2,3,2,3,3,1,2,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,4,7,6,8
"177",1,2,15,2,2,2,1,2,3,3,1,2,2,1,0,0,0,0,1,1,1,0,0,4,4,4,2,4,5,2,8,9,10
"178",1,2,16,2,1,2,1,3,1,4,1,1,1,1,1,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,9,8,8
"179",1,2,17,1,2,2,1,1,3,4,1,2,4,2,0,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,8,8,8
"180",1,2,17,2,1,2,3,2,4,4,1,2,2,1,3,0,1,0,1,0,0,0,0,4,5,2,1,1,2,10,8,7,8
"181",1,2,16,NA,1,2,2,2,3,3,1,1,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,0,9,10,11
"182",1,1,16,2,1,2,4,2,2,4,2,1,1,2,0,0,0,0,0,1,1,1,1,4,2,3,1,1,3,0,17,17,18
"183",1,1,16,NA,1,2,2,2,3,3,2,2,1,2,0,0,1,0,0,0,1,1,0,5,1,5,1,1,4,0,12,12,13
"184",1,1,16,NA,1,2,4,4,2,2,4,2,1,2,0,0,1,0,0,1,1,1,1,4,4,2,1,1,3,0,16,16,17
"185",1,2,16,2,1,2,3,4,3,3,1,1,3,1,1,0,1,0,1,0,1,1,0,3,4,5,2,4,2,4,9,9,10
"186",1,2,16,2,1,2,1,0,3,3,4,2,2,2,0,0,1,0,1,1,1,1,1,4,3,2,1,1,3,0,16,17,18
"187",1,2,17,NA,2,2,4,4,5,3,4,2,1,2,0,0,1,0,1,1,1,1,0,4,4,4,1,3,5,0,11,9,10
"188",1,1,16,2,1,2,1,3,1,4,2,2,1,2,0,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,14,13,13
"189",1,1,16,2,2,2,3,3,3,3,4,2,2,2,0,0,1,0,1,1,1,1,0,4,4,5,1,1,4,0,14,14,15
"190",1,2,17,2,2,2,4,3,5,3,1,2,2,2,0,0,0,0,1,1,1,1,0,4,4,4,4,4,4,0,10,11,11
"191",1,1,16,2,1,2,2,2,4,3,4,2,2,2,0,0,0,0,1,0,1,1,0,3,4,4,1,4,5,0,13,12,14
"192",1,2,17,2,1,2,3,3,3,3,4,1,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,11,9,10
"193",1,2,16,NA,1,2,4,2,5,4,3,2,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,8,10,9,11
"194",1,2,17,2,1,2,4,3,3,3,1,2,1,2,0,0,1,1,1,1,1,1,1,5,2,3,1,1,2,4,11,11,13
"195",1,2,16,2,1,2,4,3,5,3,2,2,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,4,11,10,11
"196",1,2,16,NA,1,2,3,3,4,3,2,2,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,3,0,11,12,13
"197",1,1,17,2,1,2,2,4,4,4,4,1,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,17,18,17
"198",1,1,17,2,2,2,3,3,3,3,4,2,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,32,14,13,14
